AZ commands

az account			, cloud
az acr			, cloud
az acs			, cloud
az ad			, cloud
az advisor			, cloud
az afd			, cloud
az ai-examples		, cloud
az aks			, cloud
az alias			, cloud
az ams			, cloud
az apim			, cloud
az appconfig		, cloud
az appservice		, cloud
az arcappliance		, cloud
az arcdata			, cloud
az aro			, cloud
az artifacts			, cloud
az attestation		, cloud
az automation		, cloud
az azurestackhci		, cloud
az backup			, cloud
az baremetalinstance		, cloud
az batch			, cloud
az batchai			, cloud
az bicep			, cloud
az billing			, cloud
az blockchain		, cloud
az blueprint		, cloud
az boards			, cloud
az bot			, cloud
az cache			, cloud
az capacity			, cloud
az cdn			, cloud
az change-analysis		, cloud
az cli-translator		, cloud
az cloud			, cloud
az cloud-service		, cloud
az cognitiveservices		, cloud
az communication		, cloud
az confidentialledger		, cloud
az config			, cloud
az confluent		, cloud
az connectedk8s		, cloud
az connectedmachine		, cloud
az connectedvmware		, cloud
az consumption		, cloud
az container		, cloud
az containerapp		, cloud
az cosmosdb		, cloud
az costmanagement		, cloud
az csvmware		, cloud
az customlocation		, cloud
az custom-providers		, cloud
az databox			, cloud
az databoxedge		, cloud
az databricks		, cloud
az datadog			, cloud
az datafactory		, cloud
az datamigration		, cloud
az dataprotection		, cloud
az datashare		, cloud
az dedicated-hsm		, cloud
az demo			, cloud
az deployment		, cloud
az deploymentmanager	, cloud
az deployment-scripts		, cloud
az desktopvirtualization	, cloud
az devops			, cloud
az disk			, cloud
az disk-access		, cloud
az disk-encryption-set	, cloud
az disk-pool		, cloud
az dla			, cloud
az dls			, cloud
az dms			, cloud
az dnc			, cloud
az dns-resolver		, cloud
az dt			, cloud
az edgeorder		, cloud
az elastic			, cloud
az eventgrid		, cloud
az eventhubs		, cloud
az extension		, cloud
az feature			, cloud
az fluid-relay		, cloud
az footprint		, cloud
az functionapp		, cloud
az fzf			, cloud
az grafana			, cloud
az graph			, cloud
az group			, cloud
az guestconfig		, cloud
az hack			, cloud
az hanainstance		, cloud
az hdinsight		, cloud
az healthbot		, cloud
az healthcareapis		, cloud
az hpc-cache		, cloud
az identity			, cloud
az image			, cloud
az import-export		, cloud
az internet-analyzer		, cloud
az iot			, cloud
az k8sconfiguration		, cloud
az k8s-configuration		, cloud
az k8s-extension		, cloud
az keyvault		, cloud
az kusto			, cloud
az lab			, cloud
az lock			, cloud
az logic			, cloud
az logicapp			, cloud
az logz			, cloud
az maintenance		, cloud
az managedapp		, cloud
az managed-cassandra	, cloud
az managedservices		, cloud
az managementpartner	, cloud
az maps			, cloud
az mariadb			, cloud
az mesh			, cloud
az ml			, cloud
az ml			, cloud
az monitor			, cloud
az mysql			, cloud
az netappfiles		, cloud
az network			, cloud
az notification-hub		, cloud
az offazure			, cloud
az peering			, cloud
az pipelines		, cloud
az policy			, cloud
az portal			, cloud
az postgres		, cloud
az powerbi			, cloud
az ppg			, cloud
az private-link		, cloud
az provider		, cloud
az providerhub		, cloud
az purview			, cloud
az quantum		, cloud
az quota			, cloud
az redis			, cloud
az redisenterprise		, cloud
az relay			, cloud
az remote-rendering-account	, cloud
az repos			, cloud
az reservations		, cloud
az resource		, cloud
az resourcemanagement	, cloud
az resource-mover		, cloud
az restore-point		, cloud
az role			, cloud
az sapmonitor		, cloud
az scvmm			, cloud
az search			, cloud
az security			, cloud
az sentinel			, cloud
az serial-console		, cloud
az servicebus		, cloud
az sf			, cloud
az sig			, cloud
az signalr			, cloud
az snapshot		, cloud
az spatial-anchors-account	, cloud
az spring			, cloud
az spring-cloud		, cloud
az sql			, cloud
az ssh			, cloud
az sshkey			, cloud
az stack-hci		, cloud
az staticwebapp		, cloud
az storage			, cloud
az storagesync		, cloud
az stream-analytics		, cloud
az support			, cloud
az synapse			, cloud
az tag			, cloud
az term			, cloud
az ts			, cloud
az tsi			, cloud
az vm			, cloud
az vmss			, cloud
az vmware			, cloud
az webapp			, cloud
az webpubsub		, cloud








GCLOUD commands

gcloud init			, cloud  
gcloud version		, cloud  
gcloud components install	, cloud 
gcloud components update	, cloud  
gcloud config set project	, cloud  
gcloud info			, cloud
gcloud help		, cloud
gcloud feedback		, cloud
gcloud topic		, cloud
gcloud config set		, cloud 
gcloud config get-value	, cloud 
gcloud config list		, cloud 
gcloud config configurations create	, cloud 
gcloud config configurations list	, cloud 	
gcloud config configurations activate	, cloud 
gcloud auth login		, cloud 
gcloud auth activate-service-account	, cloud 
gcloud auth list		, cloud 
gcloud auth print-access-token	, cloud 
gcloud auth revoke		, cloud 
gcloud projects describe	, cloud 
gcloud projects add-iam-policy-binding	, cloud
gcloud iam list-grantable-roles	, cloud 
gcloud iam roles create	, cloud 
gcloud iam service-accounts create	, cloud 
gcloud iam service-accounts add-iam-policy-binding	, cloud 
gcloud iam service-accounts set-iam-policy-binding	, cloud
gcloud iam service-accounts keys list	, cloud 
gcloud auth configure-docker	, cloud 
gcloud container clusters create	, cloud 
gcloud container clusters list	, cloud 
gcloud container clusters get-credentials	, cloud
gcloud container images list-tags	, cloud 	
gcloud compute zones list	, cloud 
gcloud compute instances create	, cloud 
gcloud compute instances describe	, cloud
gcloud compute instances list	, cloud 
gcloud compute disks snapshot	, cloud 
gcloud compute snapshots describe	, cloud 
gcloud compute snapshots delete	, cloud 
gcloud compute ssh		, cloud
gcloud app deploy		, cloud 	
gcloud app versions list	, cloud 
gcloud app browse		, cloud 
gcloud app create		, cloud 
gcloud app logs read		, cloud
gcloud kms decrypt		, cloud 
gcloud sql backups describe	, cloud
gcloud sql export sql		, cloud


GIT commands

git config –global user.email	, git
git config –global alias.	, git
git config –system core.editor	, git
