C (ANSI (C89)) (32 keywords)

auto	, C89
break	, C89
case	, C89
char	, C89
const	, C89
continue	, C89
default	, C89
do	, C89
double	, C89
else	, C89
enum	, C89
extern	, C89
float	, C89
for	, C89
goto	, C89
if	, C89
int	, C89
long	, C89
register	, C89
return	, C89
short	, C89
signed	, C89
sizeof	, C89
static	, C89
struct	, C89
switch	, C89
typedef	, C89
union	, C89
unsigned	, C89
void	, C89
volatile	, C89
while	, C89




C (C11) (44 keywords)

auto	, C11
break	, C11
case	, C11
char	, C11
const	, C11
continue	, C11
default	, C11
do	, C11
double	, C11
else	, C11
enum	, C11
extern	, C11
float	, C11
for	, C11
goto	, C11
if	, C11
inline	, C11
int	, C11
long	, C11
register	, C11
restrict	, C11
return	, C11
short	, C11
signed	, C11
sizeof	, C11
static	, C11
struct	, C11
switch	, C11
typedef	, C11
union	, C11
unsigned	, C11
void	, C11
volatile	, C11
while	, C11
_Alignas	, C11
_Alignof	, C11
_Atomic	, C11
_Bool	, C11
_Complex	, C11
_Generic	, C11
_Imaginary, C11
_Noreturn	, C11
_Static_assert, C11
_Thread_local, C11





C (C17) (44 keywords)

auto	, C17
break	, C17
case	, C17
char	, C17
const	, C17
continue	, C17
default	, C17
do	, C17
double	, C17
else	, C17
enum	, C17
extern	, C17
float	, C17
for	, C17
goto	, C17
if	, C17
inline	, C17
int	, C17
long	, C17
register	, C17
restrict	, C17
return	, C17
short	, C17
signed	, C17
sizeof	, C17
static	, C17
struct	, C17
switch	, C17
typedef	, C17
union	, C17
unsigned	, C17
void	, C17
volatile	, C17
while	, C17
_Alignas	, C17
_Alignof	, C17
_Atomic	, C17
_Bool	, C17
_Complex	, C17
_Generic	, C17
_Imaginary, C17
_Noreturn	, C17
_Static_assert, C17
_Thread_local, C17





C (C99) (37 keywords)

auto	, C99
break	, C99
case	, C99
char	, C99
const	, C99
continue	, C99
default	, C99
do	, C99
double	, C99
else	, C99
enum	, C99
extern	, C99
float	, C99
for	, C99
goto	, C99
if	, C99
inline	, C99
int	, C99
long	, C99
register	, C99
restrict	, C99
return	, C99
short	, C99
signed	, C99
sizeof	, C99
static	, C99
struct	, C99
switch	, C99
typedef	, C99
union	, C99
unsigned	, C99
void	, C99
volatile	, C99
while	, C99
_Bool	, C99
_Complex	, C99
_Imaginary, C99







C# (8.0) (107 keywords)

abstract	, C#8.0
break	, C#8.0
char	, C#8.0
continue	, C#8.0
do	, C#8.0
event	, C#8.0
finally	, C#8.0
foreach	, C#8.0
in	, C#8.0
is	, C#8.0
new	, C#8.0
out	, C#8.0
protected	, C#8.0
return	, C#8.0
sizeof	, C#8.0
struct	, C#8.0
true	, C#8.0
ulong	, C#8.0
using	, C#8.0
while	, C#8.0
async	, C#8.0
dynamic	, C#8.0
global	, C#8.0
let	, C#8.0
orderby	, C#8.0
set	, C#8.0
when	, C#8.0
as	, C#8.0
byte	, C#8.0
checked	, C#8.0
decimal	, C#8.0
double	, C#8.0
explicit	,C#8.0
fixed	, C#8.0
goto	, C#8.0
int	, C#8.0
lock	, C#8.0
null	, C#8.0
override	, C#8.0
public	, C#8.0
sbyte	, C#8.0
stackalloc	, C#8.0
switch	, C#8.0
try	, C#8.0
unchecked, C#8.0
virtual	, C#8.0
add	, C#8.0
await	, C#8.0
equals	, C#8.0
group	, C#8.0
nameof	, C#8.0
partial	, C#8.0
unmanaged, C#8.0
where	, C#8.0
base	, C#8.0
case	, C#8.0
class	, C#8.0
default	, C#8.0
else	, C#8.0
extern	, C#8.0
float	, C#8.0
if	, C#8.0
interface	, C#8.0
long	, C#8.0
object	, C#8.0
params	, C#8.0
readonly	, C#8.0
sealed	, C#8.0
static	, C#8.0
this	, C#8.0
typeof	, C#8.0
unsafe	, C#8.0
void	, C#8.0
alias	, C#8.0
by	, C#8.0
from	, C#8.0
into	, C#8.0
notnull	, C#8.0
remove	, C#8.0
value	, C#8.0
yield	, C#8.0
bool	, C#8.0
catch	, C#8.0
const	, C#8.0
delegate	, C#8.0
enum	, C#8.0
false	, C#8.0
for	, C#8.0
implicit	, C#8.0
internal	, C#8.0
namespace, C#8.0
operator	, C#8.0
private	, C#8.0
ref	, C#8.0
short	, C#8.0
string	, C#8.0
throw	, C#8.0
uint	, C#8.0
ushort	, C#8.0
volatile	, C#8.0
ascending	, C#8.0
descending, C#8.0
get	, C#8.0
join	, C#8.0
on	, C#8.0
select	, C#8.0
var	, C#8.0




C++ (C++03) (74 keywords)

asm	, C++03
auto	, C++03
bool	, C++03
break 	, C++03
case	, C++03
catch	, C++03
char	, C++03
class	, C++03
const	, C++03
const_cast	, C++03
continue	, C++03
default	, C++03
delete	, C++03
do	, C++03
double	, C++03
dynamic_cast, C++03
else	, C++03
enum	, C++03
explicit	, C++03
export	, C++03
extern	, C++03
false	, C++03
float	, C++03
for	, C++03
friend	, C++03
goto	, C++03
if	, C++03
inline	, C++03
int	, C++03
long	, C++03
mutable	, C++03
namespace, C++03
new	, C++03
operator	, C++03
private	, C++03
protected	, C++03
public	, C++03
register	, C++03
reinterpret_cast	, C++03
return	, C++03
short	, C++03
signed	, C++03
sizeof	, C++03
static	, C++03
static_cast	, C++03
struct	, C++03
switch	, C++03
template	, C++03
this	, C++03
throw	, C++03
true	, C++03
try	, C++03
typedef	, C++03
typeid	, C++03
typename	, C++03
union	, C++03
unsigned	, C++03
using	, C++03
virtual	, C++03
void	, C++03
volatile	, C++03
wchar_t	, C++03
while	, C++03
and	, C++03
and_eq	, C++03
bitand	, C++03
bitor	, C++03
compl	, C++03
not	, C++03
not_eq	, C++03
or	, C++03
or_eq	, C++03
xor	, C++03
xor_eq	, C++03






C++ (C++11) (84 keywords)

alignas	, C++11
alignof	, C++11
asm	, C++11
auto	, C++11
bool	, C++11
break	, C++11
case	, C++11
catch	, C++11
char	, C++11
char_16t	, C++11
char_32t	, C++11
class	, C++11
const	, C++11
constexpr	, C++11
const_cast	, C++11
continue	, C++11
decltype	, C++11
default	, C++11
delete	, C++11
do	, C++11
double	, C++11
dynamic_cast, C++11
else	, C++11
enum	, C++11
explicit	, C++11
export	, C++11
extern	, C++11
false	, C++11
float	, C++11
for	, C++11
friend	, C++11
goto	, C++11
if	, C++11
inline	, C++11
int	, C++11
long	, C++11
mutable	, C++11
namespace, C++11
new	, C++11
noexcept	, C++11
nullptr	, C++11
operator	, C++11
private	, C++11
protected	, C++11
public	, C++11
register	, C++11
reinterpret_cast	, C++11
return	, C++11
short	, C++11
signed	, C++11
sizeof	, C++11
static	, C++11
static_assert, C++11
static_cast	, C++11
struct	, C++11
switch	, C++11
template	, C++11
this	, C++11
thread_local, C++11
throw	, C++11
true	, C++11
try	, C++11
typedef	, C++11
typeid	, C++11
typename	, C++11
union	, C++11
unsigned	, C++11
using	, C++11
virtual	, C++11
void	, C++11
volatile	, C++11
wchar_t	, C++11
while	, C++11
and	, C++11
and_eq	, C++11
bitand	, C++11
bitor	, C++11
compl	, C++11
not	, C++11
not_eq	, C++11
or	, C++11
or_eq	, C++11
xor	, C++11
xor_eq	, C++11





C++ (C++14) (84 keywords)

alignas	, C++14
alignof	, C++14
asm	, C++14
auto	, C++14
bool	, C++14
break	, C++14
case	, C++14
catch	, C++14
char	, C++14
char_16t	, C++14
char_32t	, C++14
class	, C++14
const	, C++14
constexpr	, C++14
const_cast	, C++14
continue	, C++14
decltype	, C++14
default	, C++14
delete	, C++14
do	, C++14
double	, C++14
dynamic_cast, C++14
else	, C++14
enum	, C++14
explicit	, C++14
export	, C++14
extern	, C++14
false	, C++14
float	, C++14
for	, C++14
friend	, C++14
goto	, C++14
if	, C++14
inline	, C++14
int	, C++14
long	, C++14
mutable	, C++14
namespace, C++14
new	, C++14
noexcept	, C++14
nullptr	, C++14
operator	, C++14
private	, C++14
protected	, C++14
public	, C++14
register	, C++14
reinterpret_cast	, C++14
return	, C++14
short	, C++14
signed	, C++14
sizeof	, C++14
static	, C++14
static_assert, C++14
static_cast	, C++14
struct	, C++14
switch	, C++14
template	, C++14
this	, C++14
thread_local	, C++14
throw	, C++14
true	, C++14
try	, C++14
typedef	, C++14
typeid	, C++14
typename	, C++14
union	, C++14
unsigned	, C++14
using	, C++14
virtual	, C++14
void	, C++14
volatile	, C++14
wchar_t	, C++14
while	, C++14
and	, C++14
and_eq	, C++14
bitand	, C++14
bitor	, C++14
compl	, C++14
not	, C++14
not_eq	, C++14
or	, C++14
or_eq	, C++14
xor	, C++14
xor_eq	, C++14





C++ (C++17) (84 keywords)

alignas	, C++17
alignof	, C++17
asm	, C++17
auto	, C++17
bool	, C++17
break	, C++17
case	, C++17
catch	, C++17
char	, C++17
char16_t	, C++17
char32_t	, C++17
class	, C++17
const	, C++17
constexpr	, C++17
const_cast	, C++17
continue	, C++17
decltype	, C++17
default	, C++17
delete	, C++17
do	, C++17
double	, C++17
dynamic_cast	, C++17
else	, C++17
enum	, C++17
explicit	, C++17
export	, C++17
extern	, C++17
false	, C++17
float	, C++17
for	, C++17
friend	, C++17
goto	, C++17
if	, C++17
inline	, C++17
int	, C++17
long	, C++17
mutable	, C++17
namespace, C++17
new	, C++17
noexcept	, C++17
nullptr	, C++17
operator	, C++17
private	, C++17
protected	, C++17
public	, C++17
register	, C++17
reinterpret_cast	, C++17
return	, C++17
short	, C++17
signed	, C++17
sizeof	, C++17
static	, C++17
static_assert	, C++17
static_cast	struct	, C++17
switch	, C++17
template	, C++17
this	, C++17
thread_local	, C++17
throw	, C++17
true	, C++17
try	, C++17
typedef	, C++17
typeid	, C++17
typename	, C++17
union	, C++17
unsigned	, C++17
using	, C++17
virtual	, C++17
void	, C++17
volatile	, C++17
wchar_t	, C++17
while	, C++17
and	, C++17
and_eq	, C++17
bitand	, C++17
bitor	, C++17
compl	, C++17
not	, C++17
not_eq	, C++17
or	, C++17
or_eq	, C++17
xor	, C++17
xor_eq	, C++17





C++ (C++20) (92 keywords)

alignas	, C++20
alignof	, C++20
asm	, C++20
auto 	, C++20
bool	, C++20
break	, C++20
case	, C++20
catch	, C++20
char	, C++20
char8_t	, C++20
char16_t	, C++20
char32_t	, C++20
class	, C++20
concept	, C++20
const	, C++20
consteval	, C++20
constexpr	, C++20
constinit	, C++20
const_cast	, C++20
continue	, C++20
co_await	, C++20
co_return	, C++20
co_yield	, C++20
decltype	, C++20
default	, C++20
delete	, C++20
do	, C++20
double	, C++20
dynamic_cast	, C++20
else	, C++20
enum	, C++20
explicit	, C++20
export	, C++20
extern	, C++20
false	, C++20
float	, C++20
for	, C++20
friend	, C++20
goto	, C++20
if	, C++20
inline	, C++20
int	, C++20
long	, C++20
mutable	, C++20
namespace, C++20
new	, C++20
noexcept	, C++20
nullptr, C++20
operator	, C++20
private	, C++20
protected	, C++20
public	, C++20
register	, C++20
reinterpret_cast	, C++20
requires	, C++20
return	, C++20
short	, C++20
signed	, C++20
sizeof	, C++20
static	, C++20
static_assert	, C++20
static_cast	, C++20
struct	, C++20
switch	, C++20
template	, C++20
this	, C++20
thread_local	, C++20
throw	, C++20
true	, C++20
try	, C++20
typedef	, C++20
typeid	, C++20
typename	, C++20
union	, C++20
unsigned	, C++20
using	, C++20
virtual	, C++20
void	, C++20
volatile	, C++20
wchar_t	, C++20
while	, C++20
and	, C++20
and_eq	, C++20
bitand	, C++20
bitor	, C++20
compl	, C++20
not	, C++20
not_eq	, C++20
or	, C++20
or_eq	, C++20
xor	, C++20
xor_eq	, C++20





C++ (C++98) (74 keywords)

asm	, C++98
auto	, C++98
bool	, C++98
break	, C++98
case	, C++98
catch	, C++98
char	, C++98
class	, C++98
const	, C++98
const_cast	, C++98
continue	, C++98
default	, C++98
delete	, C++98
do	, C++98
double	, C++98
dynamic_cast, C++98
else	, C++98
enum	, C++98
explicit	, C++98
export	, C++98
extern	, C++98
false	, C++98
float	, C++98
for	, C++98
friend	, C++98
goto	, C++98
if	, C++98
inline	, C++98
int	, C++98
long	, C++98
mutable	, C++98
namespace, C++98
new	, C++98
operator	, C++98
private	, C++98
protected, C++98
public	, C++98
register	, C++98
reinterpret_cast	, C++98
return	, C++98
short	, C++98
signed	, C++98
sizeof	, C++98
static	, C++98
static_cast	, C++98
struct	, C++98
switch	, C++98
template	, C++98
this	, C++98
throw	, C++98
true	, C++98
try	, C++98
typedef	, C++98
typeid	, C++98
typename	, C++98
union	, C++98
unsigned	, C++98
using	, C++98
virtual	, C++98
void	, C++98
volatile	, C++98
wchar_t	, C++98
while	, C++98
and	, C++98
and_eq	, C++98
bitand	, C++98
bitor	, C++98
compl	, C++98
not	, C++98
not_eq	, C++98
or	, C++98
or_eq	, C++98
xor	, C++98
xor_eq	, C++98





Dart (2.2) (33 keywords)

assert	, Dart
break	, Dart
case	, Dart
